Device,Station,Deployment Start,Deployment End,Latitude,Longitude,Device Depth,Notes
137123,MSS_BNRW,9/28/2021 9:07,,30.3021,-89.32294,,
485645,MSS_BNRC,9/28/2021 9:12,11/7/2023 16:21,30.30207,-89.32082,,
137151,MSS_BNRS,9/28/2021 9:17,,30.3003,-89.32094,,
137129,MSS_BNRN,9/28/2021 9:22,,30.30386,-89.32085,,
137133,MSS_BNRE,9/28/2021 9:25,,30.3021,-89.31873,,
137158,MSS_BNOW,9/28/2021 9:35,6/15/2022 9:53,30.29392,-89.29718,,
137136,MSS_BNOS,9/28/2021 9:41,NA,30.29219,-89.2952,,missing 11/7/2023
485641,MSS_BNOC,9/28/2021 9:48,NA,30.29395,-89.29521,,missing 06/02/2022
137140,MSS_BNOE,9/28/2021 9:51,,30.29398,-89.29298,,
137153,MSS_BNON,9/28/2021 9:58,6/2/2022 14:44,30.29573,-89.29514,,
137159,MSS_BNLE,9/28/2021 10:07,3/26/2024 11:16,30.30299,-89.29888,,
137122,MSS_BNLN,9/28/2021 10:12,NA,30.30469,-89.30096,,missing 9/20/23
485642,MSS_BNLC,9/28/2021 10:17,NA,30.303,-89.301,,missing 06/02/2022
137127,MSS_BNLW,9/28/2021 10:26,NA,30.30301,-89.30318,8.9,missing 12/12/2022
137121,MSS_BNLS,9/28/2021 10:36,NA,30.30115,-89.30106,,missing 09/21/2023
136360,PRE_Catch-em-all,10/8/2021 0:00,NA,30.39677,-88.5695,5.1,
136361,PRE_Crooked_Bayou,10/8/2021 0:00,8/16/2022 14:47,30.42824,-88.5984,9,
136362,PRE_Shepard,10/8/2021 0:00,,30.36182,-88.62678,4.3,
136364,PRE_Twin_Islands_E,10/8/2021 0:00,,30.36009,-88.605,9.9,
136366,PRE_Krebs_Lake,10/8/2021 0:00,,30.38382,-88.55936,3.7,
136370,PRE_Graveline_Reef,10/8/2021 0:00,,30.35007,-88.67203,5.6,
136374,PRE_Bayou_Chemise_W,10/8/2021 0:00,NA,30.39419,-88.6017,10,missing 3/12/24
136376,PRE_Bayou_Chemise_E,10/8/2021 0:00,,30.39941,-88.5903,9.4,
136381,PRE_Black_Bird_Key,10/8/2021 0:00,8/6/2024 14:16,30.43098,-88.61118,10.2,broken
136382,PRE_Esca_R_W_HWY613,10/8/2021 0:00,NA,30.41873,-88.5211,14,missing 06/20/2022
136385,PRE_Marsh_Lake,10/8/2021 0:00,1/17/2025 8:55,30.38207,-88.5845,5.8,"broken, boat strike"
136386,PRE_Bayou_Pierre ,10/8/2021 0:00,,30.37536,-88.6111,4,
136388,PRE_Pascagoula_Pier,10/8/2021 0:00,,30.33467,-88.5368,8.4,
136876,MSS_CHNL_GP_LT_31,10/10/2021 0:00,1/29/2025 0:00,30.23923,-89.00153,,first detection date
485646,MSS_BSLC,10/21/2021 10:30,NA,30.25958,-89.30647,10.8,missing 09/13/2022
137137,MSS_BSLN,10/21/2021 10:46,,30.26135,-89.30644,9.5,
137157,MSS_BSLW,10/21/2021 11:04,,30.25959,-89.30855,10.5,
137149,MSS_BSRC,10/21/2021 12:25,,30.27907,-89.29089,,
137131,MSS_BSRN,10/21/2021 14:05,6/2/2022 13:36,30.28081,-89.29092,16.7,
137148,MSS_BSRW,10/21/2021 14:15,,30.27905,-89.29303,14.4,
136378,PRE_W90BRIDGE_W,10/22/2021 10:37,7/14/2025 14:15,30.38273,-88.6086,27.5,
120614,PRE_W90BRIDGE_E,10/22/2021 11:00,8/8/2024 13:04,30.3824,-88.60716,,
120622,MSS_CAUSEWAY_1,10/22/2021 11:53,,30.35044,-88.58772,3,
136375,MSS_CAUSEWAY_2,10/22/2021 12:20,,30.34401,-88.58717,6.3,
136372,MSS_CAUSEWAY_S,10/22/2021 12:57,,30.34085,-88.58502,6.7,
136369,MSS_CAUSEWAY_N,10/22/2021 13:40,4/17/2023 8:55,30.35601,-88.58751,5.1,
120623,PRE_E90BRIDGE_W,10/22/2021 15:00,,30.37224,-88.56162,16.3,
120624,PRE_E90BRIDGE_E,10/22/2021 15:25,,30.37132,-88.56162,15,
137130,PRE_NOAATRAIN_E,10/22/2021 16:39,,30.36847,-88.56361,23.6,
137141,MSS_BSON,10/26/2021 15:10,,30.26308,-89.29524,5.5,
137120,MSS_BSOC,10/26/2021 15:21,,30.26126,-89.29527,7.7,
137144,MSS_BSOW,10/26/2021 15:33,,30.26127,-89.29741,8.4,
121065,BI_DK13,8/30/2022 9:00,10/13/2022 12:09,30.2452,-88.7906,4.3,
137607,BI_CC15,10/4/2022 10:13,10/13/2022 13:55,30.2145,-88.9204,3.9,
120609,BI_WS4,10/4/2022 11:02,10/13/2022 14:10,30.2082,-88.9875,4.9,
137603,BI_CC11,10/4/2022 13:05,10/13/2022 14:51,30.2258,-88.9188,5,
133461,BI_SIP3,10/4/2022 11:17,1/27/2023 12:59,30.2164,-89.028,5.6,
137600,BI_CC_SO1,10/4/2022 10:25,1/27/2023 23:59,30.2037,-88.9203,5.9,
114201,BI_NDK8,10/4/2022 14:18,5/30/2023 7:27,30.2544,-88.7715,6.8,
