Area,Station ,Phylum,Class,Order,Family,Taxa,Rep A,Rep B,Rep C,Total,density,#/m2
BOR,BS-2,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,18,10,15,43,1075,
BOR,BS-2,Annelida,Polychaeta,Terebellida,Terebellidae,Loimia medusa,0,0,1,1,25,
BOR,BS-2,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium (LPIL),1,1,0,2,50,
BOR,BS-2,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Acanthohaustorius sp. C,1,0,0,1,25,
BOR,BS-2,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),0,1,3,4,100,
BOR,BS-2,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),6,5,1,12,300,
BOR,BS-2,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana concentrica,1,0,0,1,25,
BOR,BS-2,Mollusca,Bivalvia,Pholadomyoida,Pandoridae,Pandora trilineata,0,1,0,1,25,
BOR,BS-2,Mollusca,Gastropoda,Cephalaspidea,Scaphandridae,Acteocina canaliculata,0,1,0,1,25,
BOR,BS-2,Nemertea,Anopla,Heteronemertea,Lineidae,Lineidae (LPIL),0,0,1,1,25,
BOR,BS-3,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome sp. B,4,0,0,4,100,
BOR,BS-3,Annelida,Polychaeta,Cossurida,Cossuridae,Cossura soyeri,0,1,1,2,50,
BOR,BS-3,Annelida,Polychaeta,Orbiniida,Orbiniidae,Leitoscoloplos (LPIL),5,0,5,10,250,
BOR,BS-3,Annelida,Polychaeta,Oweniida,Oweniidae,Owenia fusiformis,1,1,1,3,75,
BOR,BS-3,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,1,0,0,1,25,
BOR,BS-3,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,0,1,1,2,50,
BOR,BS-3,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,0,1,0,1,25,
BOR,BS-3,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,0,0,1,1,25,
BOR,BS-3,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,23,13,9,45,1125,
BOR,BS-3,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,0,1,2,3,75,
BOR,BS-3,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),0,1,1,2,50,
BOR,BS-3,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),4,3,4,11,275,
BOR,BS-3,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana concentrica,1,1,0,2,50,
BOR,BS-3,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,0,1,0,1,25,
BOR,BS-3,Mollusca,Gastropoda,Neotaenioglossa,Epitoniidae,Epitonium (LPIL),1,0,0,1,25,
BOR,BS-4,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome sp. B,0,1,0,1,25,
BOR,BS-4,Annelida,Polychaeta,Cossurida,Cossuridae,Cossura soyeri,2,0,1,3,75,
BOR,BS-4,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra cuprea,3,0,1,4,100,
BOR,BS-4,Annelida,Polychaeta,Orbiniida,Orbiniidae,Leitoscoloplos (LPIL),0,0,1,1,25,
BOR,BS-4,Annelida,Polychaeta,Oweniida,Oweniidae,Owenia fusiformis,2,2,0,4,100,
BOR,BS-4,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,2,3,0,5,125,
BOR,BS-4,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereididae (LPIL),0,4,0,4,100,
BOR,BS-4,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,2,0,1,3,75,
BOR,BS-4,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgreniella maccraryae,1,0,0,1,25,
BOR,BS-4,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sigalionidae (LPIL),1,0,0,1,25,
BOR,BS-4,Annelida,Polychaeta,Scolecida,Capitellidae,Notomastus latericeus,1,1,0,2,50,
BOR,BS-4,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,1,2,0,3,75,
BOR,BS-4,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,8,10,8,26,650,
BOR,BS-4,Annelida,Polychaeta,Spionida,Spionidae,Polydora cornuta,1,0,0,1,25,
BOR,BS-4,Annelida,Polychaeta,Terebellida,Pectinariidae,Pectinaria gouldi,1,3,0,4,100,
BOR,BS-4,Annelida,Polychaeta,Terebellida,Terebellidae,Loimia medusa,1,0,0,1,25,
BOR,BS-4,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium (LPIL),0,1,0,1,25,
BOR,BS-4,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,3,1,0,4,100,
BOR,BS-4,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),2,0,0,2,50,
BOR,BS-4,Echinodermata,,,,Echinodermata (LPIL),0,1,0,1,25,
BOR,BS-4,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),3,5,1,9,225,
BOR,BS-4,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara floridana,0,1,0,1,25,
BOR,BS-4,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana concentrica,2,0,0,2,50,
BOR,BS-4,Mollusca,Bivalvia,Pholadomyoida,Pandoridae,Pandora trilineata,1,0,0,1,25,
BOR,BS-4,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Lasaeidae (LPIL),2,3,0,5,125,
BOR,BS-4,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Eulimastoma (LPIL),1,0,0,1,25,
BOR,BS-4,Nemertea,Anopla,Paleonemertea,Tubulanidae,Tubulanus sp. A,2,0,1,3,75,
BOR,BS-4,Nemertea,,,,Nemertea (LPIL),0,1,0,1,25,
BOR,BS-5,Annelida,Polychaeta,Orbiniida,Orbiniidae,Leitoscoloplos (LPIL),2,3,8,13,325,
BOR,BS-5,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,1,1,0,2,50,
BOR,BS-5,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,1,0,1,2,50,
BOR,BS-5,Annelida,Polychaeta,Phyllodocida,Polynoidae,Polynoidae (LPIL),0,0,1,1,25,
BOR,BS-5,Annelida,Polychaeta,Scolecida,Capitellidae,Notomastus latericeus,0,0,1,1,25,
BOR,BS-5,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,2,0,0,2,50,
BOR,BS-5,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,0,1,0,1,25,
BOR,BS-5,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,9,6,18,33,825,
BOR,BS-5,Annelida,Polychaeta,Terebellida,Terebellidae,Loimia medusa,0,0,1,1,25,
BOR,BS-5,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana concentrica,0,0,1,1,25,
BOR,BS-5,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,0,1,0,1,25,
BOR,BS-6,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome sp. B,2,9,8,19,475,
BOR,BS-6,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra cuprea,2,2,0,4,100,
BOR,BS-6,Annelida,Polychaeta,Orbiniida,Orbiniidae,Leitoscoloplos (LPIL),6,5,11,22,550,
BOR,BS-6,Annelida,Polychaeta,Oweniida,Oweniidae,Owenia fusiformis,2,0,0,2,50,
BOR,BS-6,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,2,1,3,6,150,
BOR,BS-6,Annelida,Polychaeta,Phyllodocida,Hesionidae,Hesionidae (LPIL),0,0,1,1,25,
BOR,BS-6,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis succinea,0,1,0,1,25,
BOR,BS-6,Annelida,Polychaeta,Phyllodocida,Pilargidae,Ancistrosyllis jonesi,0,1,0,1,25,
BOR,BS-6,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,2,0,0,2,50,
BOR,BS-6,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus sublevis,0,1,0,1,25,
BOR,BS-6,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,4,0,0,4,100,
BOR,BS-6,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,12,22,12,46,1150,
BOR,BS-6,Arthropoda,Malacostraca,Decapoda,Ogyrididae,Ogyrides alphaerostris,1,0,0,1,25,
BOR,BS-6,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,1,0,0,1,25,
BOR,BS-6,Cnidaria,Anthozoa,Actiniaria,,Actiniaria (LPIL),1,1,0,2,50,
BOR,BS-6,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),2,0,0,2,50,
BOR,BS-6,Echinodermata,Ophiuroidea,Ophiurida,Ophiactidae,Hemipholis elongata,1,2,0,3,75,
BOR,BS-6,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana concentrica,2,1,2,5,125,
BOR,BS-6,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,1,1,0,2,50,
BOR,BS-6,Mollusca,Gastropoda,Neotaenioglossa,Epitoniidae,Epitonium rupicola,0,1,0,1,25,
BOR,BS-6,Nemertea,Anopla,Paleonemertea,Tubulanidae,Tubulanus sp. A,1,0,1,2,50,
BOR,BS-6,Nemertea,,,,Nemertea (LPIL),2,0,0,2,50,
CC,CC10,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome sp. B,2,0,0,2,50,
CC,CC10,Annelida,Polychaeta,Cossurida,Cossuridae,Cossura soyeri,0,0,2,2,50,
CC,CC10,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra cuprea,0,0,1,1,25,
CC,CC10,Annelida,Polychaeta,Orbiniida,Orbiniidae,Leitoscoloplos (LPIL),1,0,0,1,25,
CC,CC10,Annelida,Polychaeta,Oweniida,Oweniidae,Owenia fusiformis,0,0,1,1,25,
CC,CC10,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera americana,1,1,0,2,50,
CC,CC10,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis levifuscina,0,3,1,4,100,
CC,CC10,Annelida,Polychaeta,Phyllodocida,Pilargidae,Ancistrosyllis jonesi,0,0,1,1,25,
CC,CC10,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,1,0,0,1,25,
CC,CC10,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,32,21,30,83,2075,
CC,CC10,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,0,3,1,4,100,
CC,CC10,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,0,1,2,3,75,
CC,CC10,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,3,3,10,16,400,
CC,CC10,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),0,3,0,3,75,
CC,CC10,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Lasaeidae (LPIL),0,1,0,1,25,
CC,CC10,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Turbonilla (LPIL),0,0,3,3,75,
CC,CC10,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,0,1,0,1,25,
CC,CC10,Nemertea,,,,Nemertea (LPIL),4,0,0,4,100,
CC,CC10,Sipuncula,Sipunculidea,Golfingiida,Phascolionidae,Phascolion strombus,1,0,1,2,50,
CC,CC11,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome sp. B,5,2,2,9,225,
CC,CC11,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra cuprea,0,0,1,1,25,
CC,CC11,Annelida,Polychaeta,Phyllodocida,Hesionidae,Gyptis vittata,0,0,1,1,25,
CC,CC11,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis levifuscina,0,1,5,6,150,
CC,CC11,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,0,0,1,1,25,
CC,CC11,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,36,18,23,77,1925,
CC,CC11,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,1,1,1,3,75,
CC,CC11,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,0,2,2,4,100,
CC,CC11,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,2,14,14,30,750,
CC,CC11,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),1,0,0,1,25,
CC,CC11,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),2,0,0,2,50,
CC,CC11,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Lasaeidae (LPIL),1,0,0,1,25,
CC,CC11,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,1,0,0,1,25,
CC,CC11,Nemertea,,,,Nemertea (LPIL),0,0,1,1,25,
CC,CC12,Annelida,Clitellata,Tubificida,Naididae,Naididae (LPIL),5,0,0,5,125,
CC,CC12,Annelida,Polychaeta,Phyllodocida,Hesionidae,Hesionidae (LPIL),0,0,1,1,25,
CC,CC12,Annelida,Polychaeta,Phyllodocida,Pilargidae,Ancistrosyllis jonesi,0,0,1,1,25,
CC,CC12,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,0,0,4,4,100,
CC,CC12,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,4,2,6,12,300,
CC,CC12,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,1,1,1,3,75,
CC,CC12,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,3,0,0,3,75,
CC,CC12,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,0,1,4,5,125,
CC,CC12,Annelida,Polychaeta,Terebellida,Ampharetidae,Melinna maculata,1,0,0,1,25,
CC,CC12,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),1,0,2,3,75,
CC,CC12,Mollusca,Bivalvia,Pholadomyoida,Pandoridae,Pandora trilineata,1,1,0,2,50,
CC,CC12,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,0,2,1,3,75,
CC,CC12,Sipuncula,Sipunculidea,Golfingiida,Phascolionidae,Phascolion strombus,0,0,2,2,50,
CC,CC13,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera americana,0,0,1,1,25,
CC,CC13,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis micromma,1,0,1,2,50,
CC,CC13,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,0,1,0,1,25,
CC,CC13,Annelida,Polychaeta,Spionida,Magelonidae,Magelona sp. I,1,0,0,1,25,
CC,CC13,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,2,1,0,3,75,
CC,CC13,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,1,0,1,2,50,
CC,CC13,Mollusca,Bivalvia,Pholadomyoida,Pandoridae,Pandora trilineata,2,1,0,3,75,
CC,CC13,Mollusca,Bivalvia,Venerida,Veneridae,Veneridae (LPIL),1,0,0,1,25,
CC,CC13,Sipuncula,Sipunculidea,Golfingiida,Phascolionidae,Phascolion strombus,0,0,1,1,25,
CC,CC14,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys (LPIL),1,0,0,1,25,
CC,CC14,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys bucera,1,1,2,4,100,
CC,CC14,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys incisa,0,1,0,1,25,
CC,CC14,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce (LPIL),1,1,1,3,75,
CC,CC14,Annelida,Polychaeta,Spionida,Chaetopteridae,Mesochaetopterus (LPIL),2,2,1,5,125,
CC,CC14,Annelida,Polychaeta,Spionida,Magelonidae,Magelona papillicornis,0,3,3,6,150,
CC,CC14,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,1,2,0,3,75,
CC,CC14,Annelida,Polychaeta,Spionida,Spionidae,Prionospio (LPIL),0,1,0,1,25,
CC,CC14,Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone setosa,0,1,0,1,25,
CC,CC14,Arthropoda,Malacostraca,Decapoda,Ogyrididae,Ogyrides alphaerostris,2,2,0,4,100,
CC,CC14,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunus gibbesii,0,0,1,1,25,
CC,CC14,Chordata,Leptocardii,Amphioxiformes,Branchiostomatidae,Branchiostoma (LPIL),0,2,0,2,50,
CC,CC14,Mollusca,Bivalvia,Pholadomyoida,Pandoridae,Pandora trilineata,1,1,0,2,50,
CC,CC14,Mollusca,Bivalvia,Venerida,Veneridae,Parastarte triquetra,1,2,0,3,75,
CC,CC14,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellinidae (LPIL),0,0,1,1,25,
CC,CC14,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,1,0,0,1,25,
CC,CC14,Mollusca,Gastropoda,Neotaenioglossa,Naticidae,Tectonatica pusilla,1,1,0,2,50,
CC,CC14,Mollusca,Gastropoda,,,Gastropoda (LPIL),0,1,0,1,25,
CC,CC15,Annelida,Polychaeta,Orbiniida,Orbiniidae,Leitoscoloplos (LPIL),0,0,1,1,25,
CC,CC15,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,0,0,1,1,25,
CC,CC15,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada littorea,1,0,0,1,25,
CC,CC15,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtyidae (LPIL),0,1,0,1,25,
CC,CC15,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys bucera,3,4,2,9,225,
CC,CC15,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce (LPIL),3,0,0,3,75,
CC,CC15,Annelida,Polychaeta,Spionida,Chaetopteridae,Mesochaetopterus (LPIL),1,0,0,1,25,
CC,CC15,Annelida,Polychaeta,Spionida,Magelonidae,Magelona papillicornis,0,1,0,1,25,
CC,CC15,Annelida,Polychaeta,Spionida,Spionidae,Dispio uncinata,1,3,1,5,125,
CC,CC15,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes bombyx,0,1,0,1,25,
CC,CC15,Annelida,Polychaeta,Terebellida,Terebellidae,Loimia medusa,2,2,4,8,200,
CC,CC15,Annelida,Polychaeta,Terebellida,Terebellidae,Terebellidae (LPIL),0,0,1,1,25,
CC,CC15,Arthropoda,Malacostraca,Decapoda,Ogyrididae,Ogyrides alphaerostris,2,1,0,3,75,
CC,CC15,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus (LPIL),0,2,0,2,50,
CC,CC15,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Solenocera (LPIL),0,1,1,2,50,
CC,CC15,Chordata,Leptocardii,Amphioxiformes,Branchiostomatidae,Branchiostoma (LPIL),1,0,1,2,50,
CC,CC15,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),3,0,0,3,75,
CC,CC15,Echinodermata,Ophiuroidea,Ophiurida,Ophiactidae,Hemipholis elongata,1,0,0,1,25,
CC,CC15,Mollusca,Bivalvia,Pholadomyoida,Pandoridae,Pandora trilineata,1,1,3,5,125,
CC,CC15,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,3,1,3,7,175,
CC,CC15,Mollusca,Gastropoda,Neotaenioglossa,Naticidae,Tectonatica pusilla,1,0,0,1,25,
CC,CC16,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Enchytraeidae (LPIL),0,0,1,1,25,
CC,CC16,Annelida,Polychaeta,Orbiniida,Orbiniidae,Leitoscoloplos (LPIL),1,0,0,1,25,
CC,CC16,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys bucera,2,1,1,4,100,
CC,CC16,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgreniella maccraryae,0,1,0,1,25,
CC,CC16,Annelida,Polychaeta,Scolecida,Capitellidae,Capitella capitata,1,0,0,1,25,
CC,CC16,Annelida,Polychaeta,Scolecida,Paraonidae,Paraonis fulgens,0,0,1,1,25,
CC,CC16,Annelida,Polychaeta,Spionida,Magelonidae,Magelona papillicornis,3,10,11,24,600,
CC,CC16,Annelida,Polychaeta,Spionida,Spionidae,Dispio uncinata,8,2,0,10,250,
CC,CC16,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharetidae (LPIL),1,0,0,1,25,
CC,CC16,Annelida,Polychaeta,Terebellida,Terebellidae,Loimia medusa,0,0,1,1,25,
CC,CC16,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Parahaustorius longimerus,3,0,0,3,75,
CC,CC16,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae ,Idunella barnardi,0,0,1,1,25,
CC,CC16,Arthropoda,Malacostraca,Decapoda,Ogyrididae,Ogyrides hayi,1,1,2,4,100,
CC,CC16,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus (LPIL),2,0,1,3,75,
CC,CC16,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,15,11,1,27,675,
CC,CC16,Arthropoda,Malacostraca,Decapoda,Portunidae,Portunidae (LPIL),0,0,1,1,25,
CC,CC16,Cnidaria,Anthozoa,Actiniaria,,Actiniaria (LPIL),1,1,3,5,125,
CC,CC16,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),1,0,0,1,25,
CC,CC16,Mollusca,Bivalvia,Pholadomyoida,Pandoridae,Pandora trilineata,1,0,0,1,25,
CC,CC16,Mollusca,Bivalvia,Venerida,Mactridae,Mulinia lateralis,0,1,0,1,25,
CC,CC16,Nemertea,Anopla,Heteronemertea,Lineidae,Lineidae (LPIL),4,0,0,4,100,
CC,CC16,Nemertea,,,,Nemertea (LPIL),0,4,6,10,250,
CC,CC16,Platyhelminthes,,,,Platyhelminthes (LPIL),0,1,0,1,25,
CC,CC17,Annelida,Polychaeta,Orbiniida,Orbiniidae,Leitoscoloplos (LPIL),3,4,3,10,250,
CC,CC17,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,0,0,1,1,25,
CC,CC17,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Aglaophamus verrilli,0,0,1,1,25,
CC,CC17,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys bucera,0,1,0,1,25,
CC,CC17,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce (LPIL),0,0,1,1,25,
CC,CC17,Annelida,Polychaeta,Phyllodocida,Polynoidae,Polynoidae (LPIL),0,0,1,1,25,
CC,CC17,Annelida,Polychaeta,Spionida,Magelonidae,Magelona papillicornis,2,1,0,3,75,
CC,CC17,Annelida,Polychaeta,Spionida,Spionidae,Dispio uncinata,1,0,0,1,25,
CC,CC17,Annelida,Polychaeta,Spionida,Spionidae,Prionospio (LPIL),0,0,1,1,25,
CC,CC17,Annelida,Polychaeta,Spionida,Spionidae,Spionidae (LPIL),0,1,0,1,25,
CC,CC17,Annelida,Polychaeta,Terebellida,Terebellidae,Loimia medusa,2,4,10,16,400,
CC,CC17,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca (LPIL),1,0,1,2,50,
CC,CC17,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca sp. R,0,0,1,1,25,
CC,CC17,Arthropoda,Malacostraca,Decapoda,Ogyrididae,Ogyrides alphaerostris,2,0,0,2,50,
